dx1,dy1,dz1,dx2,dy2,dz2,azm1_cf,ele1_cf,azm2_cf,ele2_cf,azm1_an,ele1_an,azm2_an,ele2_an,tdoa_bias,time
-3.402985046479572,3.011759441557337,1.4134106282419525,-4.919671265147545,-3.2047745952679962,-1.2487472433153959,-120.71754086078194,-18.821695186035463,-47.58702847207819,14.313797754537106,-60.70111266871421,57.63820540278292,-7.2225924261131755,74.30023316831527,-0.013702166455086484,67.3372004032135
-3.3996264179776134,3.0152147170095187,1.410640085726385,-4.9163126366455865,-3.201319319815814,-1.2515177858309634,-121.11187402777239,-19.122911135019987,-48.01750885480207,14.268443552881488,-60.706756246758616,57.703892254480266,-7.0884005083803885,74.29527946419947,0.09122334298746093,67.3519868850708
-3.3900158021753963,3.025358001553329,1.4023480814310896,-4.906702020843369,-3.191176035272004,-1.2598097901262588,-121.97233026786392,-19.06401725376648,-48.887214723616,14.702400143348886,-60.72930364041996,57.896158625998,-6.68936331883491,74.27908351500034,0.02624378650752579,67.39465403556824
-3.3711195465132118,3.0454911734589123,1.3865083828999114,-4.887805765181184,-3.171042863366421,-1.275649488657437,-123.87447340732152,-18.51270329551642,-50.18575990920797,14.506045929434624,-60.76462223754885,58.27425052853294,-5.917160276207461,74.24289997228504,-0.028903682272541253,67.47851324081421
-3.367017576459186,3.0496256321965385,1.383198782859381,-4.883703795127159,-3.1669084046287943,-1.2789590886979674,-124.07691563565619,-18.530090341759205,-50.404701336952094,14.688209005273883,-60.77063167330399,58.35364583427259,-5.755456821835806,74.23635896931098,0.16452226153901517,67.49656009674072
-3.3546359712911036,3.063384379851403,1.3733258924099203,-4.871322189959076,-3.1531496569739303,-1.288831979147428,-125.20956986368577,-18.888534812577294,-51.57762349199499,14.944937446603005,-60.78232098900787,58.60453555809467,-5.260979731316226,74.20558233768611,0.08159718856835951,67.55115413665771
-3.348716692388776,3.0691743369008293,1.3688042841931867,-4.86540291105675,-3.1473596999245035,-1.2933535873641617,-125.4153799669647,-19.099769485152805,-51.937521684832696,15.333609413872269,-60.78665162352671,58.71646249511545,-5.037024895879011,74.19645830499131,-0.02681395522829,67.57624864578247
-3.345350600568793,3.0729478379418205,1.366058919352733,-4.862036819236766,-3.1435861988835123,-1.2960989522046154,-125.73282470324894,-18.92642567603761,-52.11604587854801,15.297319901175353,-60.791001981258866,58.78536893921285,-4.900014167808038,74.18751581681168,0.162112394301535,67.59132528305054
-3.3292307326878547,3.0896770880935924,1.3535200804622498,-4.845916951355828,-3.1268569487317404,-1.3086377910950986,-127.05163720447183,-18.855798601272408,-53.181217753964965,15.38704925923954,-60.80431640850263,59.100494845970275,-4.273862578807129,74.15348486281353,0.04365657326836381,67.65975713729858
-3.326115149611409,3.093034748595986,1.3510949640963161,-4.842801368279382,-3.123499288229347,-1.3110629074610323,-127.31572603638307,-18.758547963021407,-53.40214731791777,15.492198679028943,-60.80652976595552,59.162588884879646,-4.151740086726765,74.14568135199042,0.1672330390565948,67.67318987846375
-3.3193952621901115,3.099799582610766,1.3458367891385459,-4.836081480858084,-3.1167344542145674,-1.3163210824188025,-127.66932474888512,-18.67177233735883,-53.6369987891396,15.55000549165501,-60.813532570965066,59.292434349736254,-3.890591553042828,74.13243351652352,0.1611107018107063,67.70042634010315
-3.3165944047548774,3.1026848158503046,1.3436220354630484,-4.8332806234228505,-3.113849220975028,-1.3185358360943,-127.76463070261325,-18.377101765169186,-53.609243903738516,15.635215992016823,-60.8167167867002,59.34728897738725,-3.780410877296363,74.12630136885069,0.10687920107881865,67.71282076835632
-3.30958747613503,3.1098384167767,1.3383360555341963,-4.826273694803003,-3.1066956200486326,-1.323821816023152,-128.4433425457617,-18.109462599529298,-53.887507017357436,15.194640781284448,-60.81971873522687,59.48271951832153,-3.513819920549144,74.11099948661145,0.09087136478988977,67.74065923690796
-3.3060089137123234,3.113328968810067,1.335901282832399,-4.8226951323802965,-3.103205068015266,-1.3262565887249493,-128.853247285892,-18.19980651562595,-54.13796477073026,14.869240479936616,-60.81636886746257,59.549119488859844,-3.3878163528040517,74.10414737838981,0.0875404867411751,67.75515460968018
-3.2759168714781866,3.1430456944479483,1.3143443925678795,-4.79260309014616,-3.0734883423773844,-1.347813478989469,-130.4912098708382,-18.43478559313819,-55.90056661002039,16.12057357924872,-60.80905061581131,60.11723762912576,-2.2856476290398655,74.04092226932966,0.04540867671156157,67.87807106971741
-3.2728340380661676,3.146056585070658,1.311902779559008,-4.789520256734141,-3.070477451754675,-1.3502550919983405,-130.42676064656374,-18.416723285822425,-56.035957392513275,16.722302560759175,-60.81330648608749,60.176436865175745,-2.164618411737993,74.03449675226788,0.05675150892404801,67.89054584503174
-3.2658987573383604,3.1527897044284794,1.3065048498009912,-4.7825849760063335,-3.063744332396854,-1.3556530217563572,-130.99780235627557,-18.441564832076782,-56.50409527547981,16.722735123508446,-60.8210820281665,60.3088427607365,-1.8956930203851194,74.0200428979813,0.1538121646863928,67.91820359230042
-3.2619236646434224,3.156667627369282,1.303240631606107,-4.778609883311395,-3.059866409456051,-1.3589172399512415,-131.51059422326833,-18.192049988458358,-56.63015485099953,16.196629827270144,-60.829109874342564,60.385820586717614,-1.7354280971153453,74.01152681935862,0.15033999538192155,67.93420958518982
-3.255247210778368,3.1626114047523535,1.2980714975615586,-4.7719334294463405,-3.0539226320729793,-1.3640863739957898,-132.38550301741145,-18.31468851819543,-56.77297262346834,14.57592101446417,-60.838052563883366,60.508539678065794,-1.4803585150456593,74.00144682558334,0.21539399736869047,67.96066164970398
